"","team_name","color","player_tag","core_goals","core_assists","core_saves","core_shots","core_score","demo_inflicted","demo_taken","advanced_rating"
"21893","TEAM LIQUID","blue","AcroniK.",1,2,5,9,1160,2,2,0.623190369221017
"21894","TEAM LIQUID","blue","Oski",6,2,5,25,1830,3,2,1.35371593973022
"21895","TEAM LIQUID","blue","Atow.",3,5,1,9,1376,5,3,1.05141808154851
"21896","ODYSSEY ESPORTS","orange","creamyy",2,0,5,6,1103,2,5,0.502638525424998
"21897","ODYSSEY ESPORTS","orange","ejby",4,0,12,10,1852,2,3,1.11074599327903
"21898","ODYSSEY ESPORTS","orange","Rexo",0,5,9,10,1355,3,2,0.911846499379796
"21899","GUILD ESPORTS","blue","crr",2,3,4,15,1356,5,7,0.771851592845133
"21900","GUILD ESPORTS","blue","Deevo",3,3,6,19,1668,3,5,0.972689495704748
"21901","GUILD ESPORTS","blue","Dorito",4,2,5,17,1851,3,7,1.0636837782627
"21902","E-GIRLS HUNTERS","orange","Davoof",2,2,12,9,1907,8,6,0.794342935820839
"21903","E-GIRLS HUNTERS","orange","kuxir97",2,0,5,11,1345,3,2,0.557107730357373
"21904","E-GIRLS HUNTERS","orange","Dead-Monster",3,3,12,7,1932,8,3,0.946368362438296
"21905","WYLDE","blue","Crispy",6,1,5,15,1640,1,3,1.33939839375608
"21906","WYLDE","blue","simas",2,2,3,12,1235,7,4,0.830009209493604
"21907","WYLDE","blue","accro",2,4,4,9,1321,4,1,1.03070393458109
"21908","SK GAMING","orange","Ekon",4,0,4,8,1124,3,4,0.980923208948179
"21909","SK GAMING","orange","Kérian",3,2,10,7,1737,2,5,1.22458311254015
"21910","SK GAMING","orange","fruity",1,3,6,10,1268,3,3,0.802685608922461
"21911","JUICERS","blue","Forece",3,0,8,12,1374,2,0,1.1016297988381
"21912","JUICERS","blue","parka",3,2,5,8,1411,6,0,1.22053767675099
"21913","JUICERS","blue","juicy",1,3,10,8,1332,6,1,1.28305632951366
"21914","GROS NOOBZ","orange","WhiiskyDrink",1,0,4,8,982,0,10,0.570436842792736
"21915","GROS NOOBZ","orange","Gekk",0,2,9,12,1252,1,3,0.981328407795741
"21916","GROS NOOBZ","orange","Yukiss",1,0,4,12,846,0,1,0.655626286480231
"21917","00 NATION","blue","Breezi",3,0,13,18,2048,3,9,0.941129211432835
"21918","00 NATION","blue","hibbs",2,0,7,9,1475,5,5,0.672500336342658
"21919","00 NATION","blue","FlamE",1,4,9,10,1621,5,6,0.926480839026914
"21920","LUMINOSITY GAMING","orange","eekso",3,0,12,11,1895,8,3,0.779888597277244
